WORD,POS_TAG,COUNT
인생,NNG,6068
차이,NNG,4877
자라,VV,4109
냉장고,NNG,5045
과일,NNG,3265
다행,NNG,4622
병,NNG,5279
불,NNG,329
세계,NNG,5565
공원,NNG,1444
밑,NNG,1476
는구나,EF,6088
면,NNG,5305
달,VV,3115
삶,NNG,6069
준비하,VV,4173
아무,MMD,4914
라면,NNG,5288
올해,NNG,4935
누르,VV,1511
자체,NNG,3680
선수,NNG,1531
싸,VA,5103
습관,NNG,6683
피아노,NNG,120
감정,NNG,7031
적,VA,5647
오르,VV,3816
직장,NNG,4634
화,NNG,4157
무릎,NNG,3403
운전,NNG,1718
바뀌,VV,4796
더라도,EC,4348
데리,VV,1030
어른,NNG,1718
역시,MAG,6330
식,NNB,3605
굽,VV,3700
오십,NR,4506
말리,VV,4761
수영,NNG,731
멀,VA,3398
컴퓨터,NNG,3722
유튜브,NNP,4249
다며,EC,7170
광고,NNG,7383
나타나,VV,3145
사,NR,1955
보험,NNG,2910
감기,NNG,1591
라면,EC,6702
드라마,NNG,5138
종류,NNG,5042
지내,VV,3375
의사,NNG,3463
장난감,NNG,258
뿌리,VV,3484
놀라,VV,4018
며칠,NNG,5637
차,VV,2251
돌리,VV,2789
붓,VV,4164
ㄴ다면,EC,5128
주,NNG,2759
세,VA,1548
어쨌든,MAG,3671
새롭,VA,5366
케이크,NNG,924
눕,VV,3468
태어나,VV,1541
김밥,NNG,1696
과자,NNG,566
글,NNG,6319
다,JX,2070
재미,NNG,4460
중국,NNP,3347
점심,NNG,4403
으러,EC,2704
글쎄,IC,5963
즐기,VV,4066
참,VV,1744
피부,NNG,6120
피곤하,VA,4331
새로,MAG,1449
내려가,VV,1697
지난번,NNG,3044
불편하,VA,3613
토끼,NNG,395
콜라,NNG,4824
자연,NNG,3024
사고,NNG,2920
나름,NNB,3702
무엇,NP,4710
더라고,EC,4726
멀리,MAG,2016
결국,MAG,5496
간단하,VA,5803
카페,NNG,4247
줄,NNG,1974
육,NR,2353
내일,MAG,3862
외우,VV,3740
준비,NNG,3235
내,VX,3973
멋지,VA,3433
물고기,NNG,511
당연히,MAG,4238
인기,NNG,4971
제품,NNG,6160
초콜릿,NNG,3420
시끄럽,VA,1208
신,NNG,2829
모두,MAG,4859
관계,NNG,5920
어울리,VV,4641
전화하,VV,2170
외국,NNG,2863
대로,NNB,4127
지역,NNG,4367
으려고,EC,2297
솔직히,MAG,4225
식당,NNG,4069
올라오,VV,2966
연습하,VV,669
오빠,NNG,1937
속상하,VA,3278
공부하,VV,2973
에다,JKB,1599
하지만,MAJ,6367
작가,NNG,4091
파티,NNG,499
천,NR,3575
서비스,NNG,6048
감자,NNG,2208
팀,NNG,2398
기회,NNG,3516
치즈,NNG,1838
지,VV,2704
기사,NNG,6307
행복하,VA,3062
어머니,NNG,3246
만화,NNG,1078
계란,NNG,4599
많아지,VV,5810
채소,NNG,5116
경제,NNG,2132
간식,NNG,1167
우와,IC,1556
뿐,JX,5541
애기,NNG,638
구,EC,4378
모자,NNG,262
최근,NNG,3912
워낙,MAG,4199
틀,VV,1914
꺼내,VV,2970
고치,VV,4047
그릇,NNG,3561
정리하,VV,4458
리코더,NNG,2326
자식,NNG,1171
사랑하,VV,3184
닿,VV,1970
미안하,VA,2239
예,NNG,3776
아예,MAG,3804
의미,NNG,5286
알아보,VV,3572
반찬,NNG,1668
아버지,NNG,3085
휴일,NNG,337
뉴스,NNG,4467
닮,VV,601
든지,JX,2792
할머니,NNP,1035
환경,NNG,4756
조용히,MAG,1203
다니까,EF,5783
도서관,NNG,1441
프로,NNB,3586
귀,NNG,1642
휴가,NNG,2491
열리,VV,3432
문화,NNG,3624
잔,NNG,5045
큰일,NNG,2125
짜,VV,2056
아무튼,MAG,1742
안경,NNG,3236
절대,MAG,2950
바닥,NNG,2701
흙,NNG,2108
그쪽,NP,976
추억,NNG,4462
비용,NNG,4647
거리,NNG,3671
든,JX,4347
변하,VV,4436
말씀,NNG,4389
허리,NNG,2234
굳이,MAG,4170
펴,VV,2989
뇌,NNG,5817
이,NNG,1509
부드럽,VA,3521
색깔,NNG,1598
구경하,VV,1714
잠깐,MAG,2568
내려오,VV,745
군,EF,5895
여섯,NR,1836
축구,NNG,264
분위기,NNG,4895
얻,VV,3727
